,Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (enrolled),Tuition fees up to date,Scholarship holder,Target
60,7,12.221428571428572,8,1,0,2
61,6,12.0,6,1,1,2
62,0,0.0,0,1,1,1
63,1,10.0,6,1,0,1
64,0,0.0,6,1,0,1
65,5,11.0,8,1,0,0
66,0,0.0,0,1,1,2
67,6,12.428571428571429,6,1,0,2
68,4,10.75,5,1,0,0
69,5,10.8,6,1,0,1
70,0,0.0,5,1,0,1
71,8,13.75,8,1,0,2
72,0,0.0,0,1,0,0
73,1,12.0,6,1,0,0
74,3,12.333333333333334,6,1,0,2
75,3,10.857142857142858,5,1,0,0
76,1,11.0,6,1,1,0
77,6,13.333333333333334,6,1,1,2
78,8,15.055555555555555,8,1,1,2
79,6,11.666666666666666,6,1,0,2
80,5,12.2,6,1,0,0
81,0,0.0,5,1,0,0
82,10,13.3,12,1,0,0
83,3,11.333333333333334,5,1,0,1
84,5,11.0,6,1,0,2
85,7,13.08,8,1,1,2
86,5,11.6,5,1,1,2
87,5,11.2,6,1,0,2
88,5,13.8,5,1,0,1
89,0,0.0,5,1,0,1
90,0,0.0,7,1,0,0
91,6,13.5,6,0,0,2
92,0,0.0,6,1,0,0
93,0,0.0,6,1,0,0
94,6,12.333333333333334,6,1,0,2
95,3,13.25,5,1,0,1
96,6,13.333333333333334,6,1,0,2
97,8,14.47777777777778,8,1,1,2
98,5,13.8,5,1,0,1
99,0,0.0,7,0,0,0
100,5,13.4,9,1,0,0
101,0,0.0,0,1,0,2
102,0,0.0,6,1,0,0
103,13,14.23076923076923,13,1,0,2
104,0,0.0,6,1,0,0
105,11,12.272727272727272,11,1,0,2
106,0,0.0,6,1,0,0
107,4,13.25,6,1,0,0
108,5,12.3,7,1,0,0
109,3,13.0,7,1,0,1
110,6,15.0,6,1,0,2
111,3,11.0,5,1,1,1
112,5,12.8,5,1,0,2
113,6,12.571428571428571,6,1,0,2
114,6,12.516666666666666,7,1,0,0
115,7,13.0,7,1,0,1
116,4,10.75,6,1,1,1
117,3,10.666666666666666,5,1,0,1
118,5,11.4,5,1,0,2
119,5,14.0,5,1,0,2
120,2,11.0,6,1,0,0
121,4,11.25,5,1,0,2
122,0,0.0,0,1,0,0
123,5,14.2,5,1,1,2
124,6,12.2,6,1,0,2
125,0,0.0,7,1,0,0
126,5,13.77777777777778,6,1,0,2
127,5,13.4,6,1,1,1
128,6,13.666666666666666,6,1,0,2
129,8,15.011111111111113,8,1,0,2
130,7,13.742857142857144,8,1,1,0
131,6,13.0,6,1,0,2
132,5,14.6,5,1,0,2
133,0,0.0,7,1,0,0
134,7,11.714285714285714,7,1,0,2
135,4,12.5,6,0,1,0
136,4,11.5,5,1,0,2
137,6,14.833333333333334,6,1,1,2
138,7,12.892857142857142,8,1,1,1
139,8,17.5875,8,1,0,2
140,6,12.666666666666666,7,1,0,2
141,5,12.0,6,1,1,2
142,0,0.0,5,0,0,1
143,6,11.5,6,1,1,2
144,8,12.33125,8,1,1,2
145,5,10.8,6,1,1,2
146,0,0.0,5,1,0,0
147,3,11.666666666666666,6,1,0,0
148,5,14.166666666666666,5,1,0,2
149,7,14.178571428571429,8,1,1,2
150,0,0.0,0,1,0,1
151,5,13.4,5,1,0,2
152,5,10.833333333333334,6,1,0,1
153,5,11.8,6,1,0,2
154,3,10.0,6,1,0,0
155,4,11.5,6,1,0,0
156,5,11.8,5,1,1,2
157,6,11.857142857142858,6,1,1,2
158,6,11.833333333333334,6,1,0,2
159,5,12.6,6,1,1,2
160,6,13.0,6,1,0,0
161,7,12.761111111111113,8,1,1,2
162,8,15.355,8,1,0,2
163,3,11.0,6,1,0,0
164,5,14.2,5,1,0,2
165,6,13.0,6,1,1,2
166,0,0.0,6,1,0,1
167,4,11.0,6,1,0,2
168,7,14.257142857142856,8,1,0,2
169,2,11.333333333333334,6,1,0,0
170,4,10.5,5,1,0,1
171,8,13.5625,8,1,0,2
172,6,11.683333333333332,7,1,0,2
173,5,12.0,6,1,0,2
174,6,13.166666666666666,6,0,0,0
175,4,13.5,5,1,1,1
176,5,12.0,6,1,0,2
177,4,11.95,7,1,0,0
178,5,10.4,6,1,0,0
179,6,14.583333333333334,8,1,0,0
180,19,12.789473684210526,19,1,0,2
181,6,13.166666666666666,6,1,1,1
182,0,0.0,6,0,0,0
183,0,0.0,6,0,0,0
184,0,0.0,6,1,0,0
185,3,10.571428571428571,5,0,0,0
186,4,10.0,6,0,0,1
187,6,13.05,7,1,1,2
188,0,0.0,6,1,0,0
189,6,12.0,6,1,0,2
190,6,12.5,6,1,1,2
191,1,10.0,5,1,0,1
192,0,0.0,5,1,0,0
193,0,0.0,6,1,0,0
194,7,12.242857142857144,8,1,0,2
195,0,0.0,5,1,0,0
196,8,12.93375,8,1,0,2
197,0,0.0,5,1,0,0
198,7,14.428571428571429,7,1,0,2
199,3,11.333333333333334,3,1,0,1
200,4,14.333333333333334,5,1,0,2
201,6,11.333333333333334,6,1,0,2
202,7,12.324285714285711,8,1,0,2
203,6,11.714285714285714,6,1,0,2
204,4,11.25,6,1,1,2
205,4,10.75,6,1,0,2
206,7,12.914285714285713,8,1,0,2
207,6,14.166666666666666,6,1,1,2
208,5,13.4,6,1,0,2
209,5,12.8,6,1,1,0
210,7,12.642857142857142,8,1,1,2
211,6,12.916666666666666,7,1,1,2
212,6,15.857142857142858,6,1,1,2
213,0,0.0,5,1,1,0
214,6,12.0,6,1,0,2
215,8,13.3125,8,1,0,1
216,5,11.6,5,1,1,2
217,0,0.0,6,1,0,0
218,0,0.0,6,1,1,0
219,2,13.5,5,1,0,0
220,3,12.333333333333334,5,1,1,2
221,6,14.5,6,1,1,2
222,2,12.5,6,1,0,0
223,7,12.19285714285714,8,1,1,2
224,7,14.9125,8,1,1,2
225,5,15.8,5,1,0,2
226,5,13.8,5,1,0,2
227,6,12.857142857142858,6,1,1,2
228,0,0.0,5,1,0,0
229,7,11.571428571428571,8,1,1,2
230,3,12.666666666666666,6,1,0,2
231,0,0.0,6,1,0,0
232,5,13.2,5,1,0,2
233,5,12.0,6,1,1,2
234,1,15.0,5,1,0,0
235,6,13.0,6,1,1,2
236,6,13.166666666666666,6,1,1,2
237,6,11.571428571428571,6,1,1,2
238,4,14.25,5,0,0,0
239,3,10.333333333333334,6,0,0,0
240,7,11.4625,7,1,0,1
241,9,13.555555555555555,13,1,0,1
242,5,13.6,5,1,1,2
243,0,0.0,5,0,0,0
244,10,12.363636363636363,10,1,1,2
245,8,13.22,8,1,0,2
246,7,13.151428571428571,8,1,1,2
247,3,11.333333333333334,6,0,0,0
248,4,12.25,6,1,0,2
249,5,14.142857142857142,6,1,1,2
250,5,12.4,6,1,0,1
251,6,12.833333333333334,6,1,1,0
252,5,13.0,5,1,0,2
253,0,0.0,6,1,0,1
254,5,10.8,5,1,0,2
255,0,0.0,7,0,1,0
256,5,12.333333333333334,5,1,0,2
257,6,12.5,6,1,0,1
258,5,12.666666666666666,6,1,1,2
259,2,13.0,7,0,0,0
260,5,10.6,6,1,1,2
261,0,0.0,6,1,0,0
262,6,12.166666666666666,12,0,0,0
263,6,14.0,6,1,0,2
264,6,12.0,6,1,0,2
265,3,11.666666666666666,6,1,0,2
266,7,14.828571428571427,8,1,0,2
267,5,12.8,6,1,1,2
268,6,12.5,6,1,1,2
269,7,13.671428571428573,8,1,1,2
270,5,12.8,6,1,1,2
271,1,13.0,5,0,0,0
272,5,12.333333333333334,5,1,0,2
273,8,13.55,8,1,0,2
274,6,15.428571428571429,6,1,0,2
275,8,15.3875,8,1,0,2
276,3,10.666666666666666,6,1,0,0
277,5,13.2,7,0,0,0
278,8,13.775,8,1,1,1
279,7,13.812857142857142,8,1,1,2
280,4,11.4,5,1,1,2
281,6,14.166666666666666,6,1,1,2
282,5,13.8,5,1,0,2
283,6,12.833333333333334,6,1,1,2
284,6,11.857142857142858,6,1,0,2
285,6,13.833333333333334,6,1,0,2
286,6,12.333333333333334,6,1,0,1
287,4,11.5,6,1,0,2
288,6,11.5,6,1,1,2
289,8,13.385,8,1,0,2
290,6,14.5,6,1,0,2
291,6,13.833333333333334,6,1,1,2
292,5,13.0,6,1,0,1
293,6,11.666666666666666,6,1,1,2
294,2,11.333333333333334,6,1,1,0
295,7,14.725714285714288,8,1,1,2
296,6,13.666666666666666,6,1,1,2
297,6,12.333333333333334,6,1,0,2
298,8,13.1375,8,1,0,2
299,8,12.86,8,1,0,2
300,6,13.714285714285714,6,1,0,2
301,5,12.2,5,1,1,2
302,8,16.168888888888887,8,1,1,2
303,4,10.25,5,0,0,0
304,0,0.0,6,1,0,0
305,4,11.0,6,1,0,1
306,4,14.6,6,1,0,2
307,0,0.0,5,1,0,0
308,5,13.2,5,1,0,2
309,2,11.0,6,0,0,0
310,6,15.142857142857142,6,1,0,2
311,3,11.333333333333334,6,1,0,0
312,5,11.8,5,1,1,2
313,5,13.666666666666666,6,1,1,2
314,0,0.0,5,1,0,0
315,5,16.4,5,1,0,2
316,8,14.88181818181818,8,1,1,2
317,8,14.355555555555554,8,1,0,2
318,6,11.857142857142858,6,1,1,2
319,6,13.083333333333334,8,1,0,1
320,0,0.0,6,0,0,0
321,7,13.058571428571428,8,1,1,2
322,8,14.055555555555555,8,1,0,2
323,8,12.0,10,1,0,2
324,3,13.0,5,1,0,1
325,3,11.666666666666666,6,1,0,2
326,6,13.333333333333334,7,1,0,2
327,5,11.0,6,1,0,2
328,5,11.4,6,1,0,1
329,5,11.6,5,1,0,1
330,6,12.666666666666666,7,1,0,1
331,0,0.0,5,1,0,0
332,6,13.0,6,1,0,2
333,6,11.666666666666666,6,1,0,2
334,6,13.666666666666666,6,1,1,2
335,6,14.666666666666666,6,1,0,2
336,7,14.571428571428571,7,1,0,2
337,8,13.39125,8,1,1,2
338,6,12.428571428571429,6,1,0,2
339,4,12.5,5,1,0,2
340,3,12.0,5,1,0,1
341,0,0.0,0,1,0,0
342,6,12.857142857142858,6,1,0,2
343,6,13.1,6,1,0,2
344,2,12.0,5,1,0,1
345,6,12.5,6,1,0,2
346,9,12.307692307692308,13,1,0,1
347,5,11.666666666666666,5,1,0,2
348,6,13.833333333333334,6,1,0,2
349,4,11.25,6,1,0,1
350,4,11.5,6,1,0,0
351,6,13.333333333333334,6,1,1,2
352,0,0.0,0,0,0,0
353,6,14.2,7,1,1,2
354,0,0.0,6,0,0,0
355,6,16.428571428571427,6,1,0,2
356,7,13.44285714285714,8,1,0,2
357,0,0.0,5,1,0,0
358,0,0.0,6,1,1,1
359,0,0.0,6,1,0,0
360,6,11.833333333333334,6,1,0,2
361,2,10.0,6,1,0,0
362,4,11.0,5,1,0,1
363,7,13.714285714285714,9,1,1,2
364,5,13.98,7,1,0,1
365,6,15.75,6,1,1,2
366,6,14.033333333333331,7,1,1,2
367,5,11.2,5,1,0,1
368,6,13.666666666666666,7,1,1,2
369,7,13.414285714285716,8,1,0,0
370,7,13.571428571428571,7,1,0,2
371,4,10.833333333333334,5,1,1,1
372,6,14.428571428571429,6,1,1,2
373,5,12.857142857142858,5,1,0,2
374,0,0.0,6,1,0,0
375,10,12.8,11,1,0,1
376,0,0.0,5,0,0,0
377,8,15.287499999999998,8,1,1,2
378,6,13.333333333333334,7,0,1,1
379,2,13.5,6,1,0,1
380,6,10.978571428571428,8,1,1,0
381,8,13.75,8,1,0,1
382,3,10.333333333333334,6,1,0,1
383,6,13.166666666666666,6,1,1,2
384,8,11.11111111111111,9,1,0,2
385,6,11.166666666666666,6,1,0,2
386,6,12.333333333333334,6,1,0,2
387,10,12.0,11,1,0,2
388,5,12.4,6,1,0,1
389,6,14.166666666666666,6,1,1,2
390,1,11.0,6,1,0,1
391,5,12.14,8,1,0,1
392,5,11.4,6,0,0,0
393,2,12.333333333333334,5,0,0,0
394,6,14.0,6,1,0,2
395,7,12.86,8,1,1,2
396,11,12.0,11,1,0,2
397,3,12.0,6,1,1,2
398,4,13.714285714285714,6,1,0,0
399,0,0.0,5,1,0,0
400,4,11.2,6,1,1,1
401,3,10.333333333333334,6,1,0,1
402,3,11.0,6,1,0,1
403,4,12.75,6,1,0,1
404,7,14.731428571428571,8,1,0,2
405,0,0.0,0,1,0,2
406,12,14.25,12,1,0,2
407,5,14.8,5,1,0,2
408,6,14.571428571428571,6,1,0,2
409,0,0.0,5,1,0,0
410,7,14.654285714285717,8,1,1,2
411,7,12.401428571428571,8,1,0,2
412,7,14.071428571428571,8,1,0,2
413,5,15.6,5,1,0,2
414,6,11.833333333333334,6,1,1,2
415,5,15.4,5,1,0,2
416,6,12.375,6,1,0,2
417,3,11.0,6,1,0,0
418,6,11.6,7,1,1,2
419,0,0.0,8,1,0,0
420,8,13.094444444444443,8,1,1,2
421,5,14.8,5,1,0,2
422,0,0.0,6,1,0,0
423,8,13.25375,8,1,0,2
424,8,14.1,8,1,0,2
425,6,13.916666666666666,7,1,0,2
426,6,13.571428571428571,6,1,0,2
427,2,10.666666666666666,5,1,0,1
428,0,0.0,5,1,0,0
429,4,14.6,6,1,0,2
430,7,12.082857142857142,8,1,1,2
431,5,12.8,6,1,1,2
432,5,12.4,5,1,1,2
433,0,0.0,7,1,1,0
434,6,14.571428571428571,6,1,0,2
435,7,13.814285714285717,8,1,1,2
436,6,10.5,6,1,1,1
437,6,13.666666666666666,6,1,1,2
438,0,0.0,6,1,0,0
439,6,11.3,7,1,0,2
440,1,16.0,4,1,0,1
441,3,12.0,5,1,0,1
442,7,12.3,8,1,0,2
443,7,12.694285714285714,8,1,1,2
444,4,11.0,5,1,0,2
445,6,14.166666666666666,6,1,1,2
446,8,16.05,8,1,1,2
447,8,14.0625,8,1,0,0
448,5,12.8,6,1,0,2
449,5,12.8,6,1,1,1
450,7,14.402857142857142,8,1,0,2
451,7,13.381428571428572,8,1,1,2
452,8,13.98375,8,1,0,2
453,5,12.6,5,1,0,2
454,4,11.25,5,1,0,1
455,2,11.0,6,1,0,2
456,0,0.0,6,1,0,0
457,5,12.0,6,1,0,0
458,11,14.090909090909092,12,1,0,2
459,6,13.333333333333334,6,1,1,2
460,5,14.6,5,1,0,2
461,11,13.454545454545457,11,1,1,2
462,4,10.5,6,1,0,2
463,5,12.2,5,1,0,2
464,4,10.4,6,1,0,1
465,5,10.8,11,1,0,0
466,8,12.625,8,1,0,1
467,13,13.266666666666667,13,1,1,2
468,8,13.31,8,1,1,2
469,5,12.2,6,1,1,2
470,7,13.487142857142857,8,1,1,2
471,6,11.833333333333334,6,1,1,2
472,5,12.833333333333334,6,1,0,0
473,6,13.966666666666669,7,1,0,2
474,0,0.0,5,0,0,0
475,5,12.8,5,1,0,2
476,0,0.0,7,1,0,0
477,0,0.0,8,1,0,0
478,7,13.225,8,1,0,2
479,5,11.8,6,1,1,1
480,8,14.0375,8,1,0,2
481,7,14.314285714285717,8,1,1,2
482,0,0.0,8,1,0,0
483,2,13.0,6,1,0,1
484,7,12.128571428571428,8,1,1,2
485,5,12.2,6,1,1,2
486,4,10.571428571428571,6,1,0,0
487,4,11.75,6,1,0,0
488,8,14.4775,8,1,1,2
489,7,13.542857142857144,8,1,1,2
490,6,11.875,6,1,0,2
491,6,13.333333333333334,6,1,0,2
492,6,12.6,7,1,0,2
493,4,11.4,6,1,0,1
494,6,12.833333333333334,7,1,0,1
495,1,11.0,5,0,0,0
496,0,0.0,7,1,0,0
497,5,12.2,6,1,0,2
498,6,12.666666666666666,6,1,0,2
499,8,12.77125,8,1,0,2
500,5,12.6,5,1,0,1
501,5,14.6,6,1,0,2
502,4,10.833333333333334,6,0,0,1
503,0,0.0,4,0,0,0
504,7,11.721428571428572,8,1,1,2
505,3,12.525,7,1,0,1
506,5,13.8,7,1,0,1
507,6,13.666666666666666,6,1,0,2
508,5,14.0,5,1,0,0
509,0,0.0,5,1,0,0
510,0,0.0,6,1,0,1
511,0,0.0,5,0,0,0
512,4,11.75,5,1,0,2
513,0,0.0,5,0,0,0
514,0,0.0,4,0,0,0
515,0,0.0,6,0,0,0
516,5,12.4,6,1,0,2
517,3,11.666666666666666,6,1,0,0
518,1,11.0,6,1,0,0
519,5,10.2,6,1,0,0
520,7,12.61,8,1,1,2
521,5,12.6,5,1,0,2
522,6,13.5,6,0,0,2
523,5,13.0,5,1,1,2
524,0,0.0,8,1,0,0
525,1,11.0,5,1,0,0
526,3,10.5,5,1,0,1
527,0,0.0,0,1,0,2
528,0,0.0,5,0,0,0
529,4,11.75,6,1,0,0
530,3,11.666666666666666,5,1,1,1
531,0,0.0,6,1,0,0
532,7,11.69,8,1,0,2
533,0,0.0,6,0,0,0
534,0,0.0,0,1,0,2
535,5,11.285714285714286,5,1,0,2
536,0,0.0,5,1,0,0
537,5,12.4,6,1,0,2
538,6,13.166666666666666,6,1,0,2
539,6,11.333333333333334,6,1,0,0
540,8,15.018181818181818,8,1,0,2
541,2,12.0,5,1,0,1
542,6,12.625,6,1,1,2
543,8,15.188888888888888,8,1,1,2
544,5,12.6,5,1,1,1
545,3,11.0,5,1,0,1
546,2,13.5,5,1,0,1
547,2,14.5,6,1,0,1
548,6,13.496666666666668,8,1,0,1
549,5,11.0,5,1,0,2
550,3,12.0,5,1,0,0
551,4,13.75,6,0,0,0
552,3,13.666666666666666,8,1,0,0
553,0,0.0,6,1,0,0
554,0,0.0,5,1,0,0
555,6,10.857142857142858,9,1,0,0
556,3,12.0,5,1,0,1
557,0,0.0,0,1,0,2
558,3,10.666666666666666,6,1,0,1
559,8,12.5075,8,1,0,2
560,11,12.0,12,1,0,2
561,3,12.666666666666666,5,1,0,1
562,2,11.333333333333334,5,1,0,0
563,5,13.2,6,1,0,2
564,6,13.625,6,1,0,2
565,6,14.714285714285714,6,1,0,2
566,0,0.0,3,1,0,0
567,3,11.333333333333334,5,1,0,0
568,5,14.2,5,1,0,2
569,5,11.5,6,1,0,2
570,6,12.0,6,1,0,2
571,1,12.0,5,1,0,0
572,3,10.8,5,1,0,0
573,5,10.833333333333334,5,1,0,1
574,0,0.0,0,1,0,2
575,0,0.0,5,0,0,0
576,7,13.828571428571427,8,1,0,2
577,5,10.2,5,1,1,1
578,6,11.666666666666666,6,1,0,2
579,6,13.625,6,1,0,2
580,0,0.0,6,1,0,0
581,7,12.614285714285714,8,1,0,2
582,6,13.285714285714286,6,1,0,1
583,4,12.8,5,1,0,2
584,5,11.6,6,1,0,2
585,5,15.2,5,1,1,2
586,5,13.2,5,1,0,2
587,6,12.285714285714286,6,1,1,2
588,3,12.0,6,1,0,2
589,8,13.825,8,1,0,2
590,6,14.555555555555555,6,1,0,2
591,5,11.7,7,1,0,1
592,6,13.571428571428571,6,1,1,2
593,4,13.0,6,1,0,1
594,5,14.0,6,1,0,1
595,11,11.545454545454543,13,1,0,0
596,3,10.0,6,0,1,0
597,5,12.6,7,0,0,0
598,6,13.77777777777778,6,1,0,2
599,13,11.461538461538462,13,1,0,2
600,0,0.0,6,1,0,0
601,4,11.6,6,0,0,0
602,8,15.744444444444444,8,1,0,2
603,6,12.333333333333334,6,1,0,2
604,8,15.8125,8,1,1,2
605,0,0.0,0,0,0,0
606,0,0.0,5,1,1,0
607,7,12.355714285714283,8,1,1,2
608,0,0.0,6,1,0,0
609,5,11.98,7,1,1,1
610,7,12.571428571428571,7,1,1,2
611,6,14.166666666666666,6,1,0,2
612,6,11.166666666666666,6,1,0,2
613,5,13.2,5,1,0,1
614,7,12.357142857142858,8,1,1,2
615,7,13.857142857142858,8,1,1,2
616,6,10.666666666666666,6,1,1,2
617,8,13.788888888888888,8,1,0,2
618,8,13.01875,8,1,1,2
619,4,11.75,6,1,0,1
620,6,12.5,6,1,0,2
621,2,10.0,5,1,0,0
622,4,10.25,6,1,0,0
623,8,13.73125,8,1,1,2
624,3,12.666666666666666,6,1,1,0
625,5,10.8,6,1,0,0
626,6,11.333333333333334,8,1,0,2
627,8,13.811111111111112,8,1,0,2
628,6,14.166666666666666,6,1,0,2
629,5,12.0,6,1,0,2
630,7,12.042857142857144,8,1,1,2
631,4,13.0,6,1,0,1
632,8,15.5,8,1,1,2
633,7,11.7,8,1,1,2
634,5,14.0,6,1,1,2
635,6,12.714285714285714,6,1,1,2
636,7,12.62857142857143,8,1,1,2
637,4,11.4,5,1,0,1
638,5,11.6,6,1,0,2
639,6,11.833333333333334,6,1,1,0
640,0,0.0,6,0,0,0
641,2,11.0,5,1,0,1
642,3,12.333333333333334,5,1,0,1
643,8,14.26875,8,1,0,1
644,0,0.0,6,0,0,0
645,3,13.333333333333334,5,1,1,1
646,1,10.0,6,1,0,1
647,5,14.833333333333334,5,1,0,2
648,8,13.2125,8,1,0,2
649,4,10.75,5,1,0,2
650,6,16.428571428571427,6,1,0,2
651,6,13.5,9,0,0,1
652,7,12.614285714285714,8,1,0,2
653,6,11.5,6,1,1,2
654,4,11.0,6,1,0,2
655,3,10.0,6,1,1,1
656,2,10.0,6,1,0,1
657,11,11.454545454545457,13,1,0,2
658,5,12.4,6,1,0,2
659,0,0.0,6,1,0,0
660,6,15.5,6,1,0,2
661,6,11.708333333333334,7,1,0,1
662,6,13.666666666666666,6,1,0,2
663,4,13.25,5,1,0,2
664,8,14.444444444444445,8,1,0,2
665,5,16.0,5,1,1,2
666,4,11.75,6,0,0,0
667,11,13.545454545454543,11,1,1,2
668,0,0.0,8,1,0,0
669,17,13.554736842105264,17,1,0,2
670,6,11.0,6,1,1,2
671,7,14.714285714285714,7,1,0,0
672,8,11.7375,8,1,1,2
673,5,13.2,6,1,0,2
674,6,13.5,6,1,0,2
675,2,11.0,6,1,0,0
676,6,15.0,6,1,0,2
677,4,12.0,6,1,0,1
678,0,0.0,5,0,0,0
679,0,0.0,0,1,1,2
680,6,10.666666666666666,6,1,0,2
681,6,14.0,6,1,1,2
682,5,14.0,5,0,1,0
683,0,0.0,6,0,0,0
684,9,11.22222222222222,12,1,0,2
685,10,12.8,10,1,0,2
686,2,11.0,2,0,0,0
687,8,12.48125,8,1,0,2
688,5,14.0,5,1,0,2
689,0,0.0,5,0,0,0
690,0,0.0,6,1,0,0
691,13,12.384615384615383,13,1,0,2
692,4,13.0,6,1,0,1
693,0,0.0,7,0,0,0
694,4,15.5,5,1,0,2
695,2,13.5,5,1,0,0
696,6,13.666666666666666,6,1,0,2
697,5,10.8,6,1,0,1
698,6,11.714285714285714,6,1,0,2
699,1,17.0,5,1,0,0
700,3,12.0,6,0,0,1
701,3,13.666666666666666,5,1,0,0
702,1,12.5,1,1,0,0
703,0,0.0,5,1,0,0
704,7,14.857142857142858,7,1,0,2
705,4,13.333333333333334,5,1,1,0
706,7,12.142857142857142,7,1,0,2
707,13,14.23076923076923,13,1,0,2
708,9,15.77777777777778,9,1,0,2
709,0,0.0,5,0,0,0
710,0,0.0,5,1,0,0
711,0,0.0,5,0,0,0
712,5,11.6,5,1,0,2
713,7,13.105714285714283,8,1,0,2
714,5,14.4,5,1,0,2
715,11,12.0,11,1,0,2
716,0,0.0,5,1,0,0
717,0,0.0,6,0,0,0
718,5,17.6,5,1,0,1
719,5,12.4,6,1,0,1
720,3,12.0,9,1,0,0
721,6,12.0,6,1,0,1
722,0,0.0,0,1,0,2
723,0,0.0,6,0,0,0
724,0,0.0,5,0,0,0
725,8,16.575,8,1,0,2
726,7,14.375,7,1,0,2
727,0,0.0,5,1,0,0
728,0,0.0,0,1,0,2
729,5,11.2,6,1,0,1
730,3,12.0,6,0,1,0
731,5,11.666666666666666,6,1,0,2
732,5,11.6,6,1,0,2
733,4,12.75,5,1,0,2
734,0,0.0,6,1,0,0
735,5,12.0,6,1,0,2
736,6,12.333333333333334,7,1,0,1
737,3,11.333333333333334,6,1,0,0
738,10,11.181818181818182,11,1,0,1
739,5,13.0,6,1,0,0
740,0,0.0,6,1,0,0
741,6,12.5,6,1,0,2
742,6,12.4,7,1,0,0
743,3,10.333333333333334,5,1,0,0
744,6,15.0,6,1,0,2
745,0,0.0,6,0,0,0
746,2,11.0,6,0,0,0
747,12,11.428571428571429,13,1,0,2
748,0,0.0,5,1,0,0
749,8,13.944444444444445,8,1,0,2
750,3,13.333333333333334,5,1,0,2
751,6,14.666666666666666,6,1,1,2
752,8,13.105,8,1,1,2
753,0,0.0,5,0,0,0
754,6,12.166666666666666,6,1,1,2
755,0,0.0,0,0,0,0
756,3,12.333333333333334,6,0,0,0
757,11,11.363636363636363,14,0,0,0
758,4,13.0,6,1,0,2
759,5,11.8,5,1,0,2
760,12,12.384615384615383,12,1,0,2
761,0,0.0,0,1,0,1
762,6,12.0,7,1,0,2
763,1,10.0,5,1,0,1
764,10,13.0,11,1,0,2
765,5,11.2,5,1,0,1
766,4,12.4,5,1,0,1
767,7,12.571428571428571,7,1,0,2
768,7,13.857142857142858,7,1,0,2
769,6,14.0,6,1,0,2
770,6,15.142857142857142,6,1,1,2
771,0,0.0,6,1,0,0
772,7,13.294444444444444,8,1,0,1
773,6,12.166666666666666,6,1,0,2
774,4,12.2,6,1,0,1
775,3,12.0,6,1,0,0
776,6,15.625,6,1,0,2
777,9,12.7,11,1,0,0
778,6,14.333333333333334,7,1,0,1
779,6,13.833333333333334,6,1,1,2
780,6,15.5,6,1,1,2
781,4,10.5,6,1,0,0
782,8,14.63375,8,1,1,2
783,6,13.345,8,1,0,1
784,6,12.333333333333334,6,1,1,2
785,6,12.142857142857142,6,1,0,2
786,5,14.0,6,1,0,2
787,7,14.537142857142856,8,1,0,2
788,5,14.0,5,1,1,0
789,0,0.0,0,1,1,2
790,6,13.833333333333334,6,1,1,2
791,0,0.0,7,0,0,0
792,6,12.428571428571429,6,1,1,2
793,5,13.6,6,1,0,2
