,Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (enrolled),Tuition fees up to date,Scholarship holder
204,4,11.25,6,1,1
205,4,10.75,6,1,0
206,7,12.914285714285713,8,1,0
207,6,14.166666666666666,6,1,1
208,5,13.4,6,1,0
209,5,12.8,6,1,1
210,7,12.642857142857142,8,1,1
211,6,12.916666666666666,7,1,1
212,6,15.857142857142858,6,1,1
213,0,0.0,5,1,1
214,6,12.0,6,1,0
215,8,13.3125,8,1,0
216,5,11.6,5,1,1
217,0,0.0,6,1,0
218,0,0.0,6,1,1
219,2,13.5,5,1,0
220,3,12.333333333333334,5,1,1
221,6,14.5,6,1,1
222,2,12.5,6,1,0
223,7,12.19285714285714,8,1,1
224,7,14.9125,8,1,1
225,5,15.8,5,1,0
226,5,13.8,5,1,0
227,6,12.857142857142858,6,1,1
228,0,0.0,5,1,0
229,7,11.571428571428571,8,1,1
230,3,12.666666666666666,6,1,0
231,0,0.0,6,1,0
232,5,13.2,5,1,0
233,5,12.0,6,1,1
234,1,15.0,5,1,0
235,6,13.0,6,1,1
236,6,13.166666666666666,6,1,1
237,6,11.571428571428571,6,1,1
238,4,14.25,5,0,0
239,3,10.333333333333334,6,0,0
240,7,11.4625,7,1,0
241,9,13.555555555555555,13,1,0
242,5,13.6,5,1,1
243,0,0.0,5,0,0
245,8,13.22,8,1,0
246,7,13.151428571428571,8,1,1
247,3,11.333333333333334,6,0,0
248,4,12.25,6,1,0
249,5,14.142857142857142,6,1,1
250,5,12.4,6,1,0
251,6,12.833333333333334,6,1,1
252,5,13.0,5,1,0
253,0,0.0,6,1,0
254,5,10.8,5,1,0
255,0,0.0,7,0,1
256,5,12.333333333333334,5,1,0
257,6,12.5,6,1,0
258,5,12.666666666666666,6,1,1
259,2,13.0,7,0,0
260,5,10.6,6,1,1
261,0,0.0,6,1,0
262,6,12.166666666666666,12,0,0
263,6,14.0,6,1,0
264,6,12.0,6,1,0
265,3,11.666666666666666,6,1,0
266,7,14.828571428571427,8,1,0
267,5,12.8,6,1,1
268,6,12.5,6,1,1
269,7,13.671428571428573,8,1,1
270,5,12.8,6,1,1
271,1,13.0,5,0,0
272,5,12.333333333333334,5,1,0
273,8,13.55,8,1,0
274,6,15.428571428571429,6,1,0
275,8,15.3875,8,1,0
276,3,10.666666666666666,6,1,0
278,8,13.775,8,1,1
279,7,13.812857142857142,8,1,1
280,4,11.4,5,1,1
281,6,14.166666666666666,6,1,1
282,5,13.8,5,1,0
283,6,12.833333333333334,6,1,1
284,6,11.857142857142858,6,1,0
285,6,13.833333333333334,6,1,0
286,6,12.333333333333334,6,1,0
287,4,11.5,6,1,0
288,6,11.5,6,1,1
289,8,13.385,8,1,0
290,6,14.5,6,1,0
291,6,13.833333333333334,6,1,1
292,5,13.0,6,1,0
293,6,11.666666666666666,6,1,1
294,2,11.333333333333334,6,1,1
295,7,14.725714285714288,8,1,1
296,6,13.666666666666666,6,1,1
297,6,12.333333333333334,6,1,0
298,8,13.1375,8,1,0
299,8,12.86,8,1,0
300,6,13.714285714285714,6,1,0
301,5,12.2,5,1,1
302,8,16.168888888888887,8,1,1
303,4,10.25,5,0,0
304,0,0.0,6,1,0
305,4,11.0,6,1,0
306,4,14.6,6,1,0
307,0,0.0,5,1,0
308,5,13.2,5,1,0
309,2,11.0,6,0,0
310,6,15.142857142857142,6,1,0
311,3,11.333333333333334,6,1,0
312,5,11.8,5,1,1
313,5,13.666666666666666,6,1,1
314,0,0.0,5,1,0
315,5,16.4,5,1,0
316,8,14.88181818181818,8,1,1
317,8,14.355555555555554,8,1,0
318,6,11.857142857142858,6,1,1
319,6,13.083333333333334,8,1,0
320,0,0.0,6,0,0
321,7,13.058571428571428,8,1,1
322,8,14.055555555555555,8,1,0
324,3,13.0,5,1,0
325,3,11.666666666666666,6,1,0
326,6,13.333333333333334,7,1,0
327,5,11.0,6,1,0
328,5,11.4,6,1,0
329,5,11.6,5,1,0
330,6,12.666666666666666,7,1,0
331,0,0.0,5,1,0
332,6,13.0,6,1,0
333,6,11.666666666666666,6,1,0
334,6,13.666666666666666,6,1,1
335,6,14.666666666666666,6,1,0
336,7,14.571428571428571,7,1,0
337,8,13.39125,8,1,1
338,6,12.428571428571429,6,1,0
339,4,12.5,5,1,0
340,3,12.0,5,1,0
341,0,0.0,0,1,0
342,6,12.857142857142858,6,1,0
343,6,13.1,6,1,0
344,2,12.0,5,1,0
345,6,12.5,6,1,0
346,9,12.307692307692308,13,1,0
347,5,11.666666666666666,5,1,0
348,6,13.833333333333334,6,1,0
349,4,11.25,6,1,0
350,4,11.5,6,1,0
351,6,13.333333333333334,6,1,1
352,0,0.0,0,0,0
353,6,14.2,7,1,1
354,0,0.0,6,0,0
355,6,16.428571428571427,6,1,0
356,7,13.44285714285714,8,1,0
357,0,0.0,5,1,0
358,0,0.0,6,1,1
359,0,0.0,6,1,0
360,6,11.833333333333334,6,1,0
361,2,10.0,6,1,0
362,4,11.0,5,1,0
363,7,13.714285714285714,9,1,1
364,5,13.98,7,1,0
365,6,15.75,6,1,1
366,6,14.033333333333331,7,1,1
367,5,11.2,5,1,0
368,6,13.666666666666666,7,1,1
369,7,13.414285714285716,8,1,0
370,7,13.571428571428571,7,1,0
371,4,10.833333333333334,5,1,1
372,6,14.428571428571429,6,1,1
373,5,12.857142857142858,5,1,0
374,0,0.0,6,1,0
375,10,12.8,11,1,0
376,0,0.0,5,0,0
377,8,15.287499999999998,8,1,1
379,2,13.5,6,1,0
380,6,10.978571428571428,8,1,1
381,8,13.75,8,1,0
382,3,10.333333333333334,6,1,0
383,6,13.166666666666666,6,1,1
384,8,11.11111111111111,9,1,0
385,6,11.166666666666666,6,1,0
386,6,12.333333333333334,6,1,0
387,10,12.0,11,1,0
388,5,12.4,6,1,0
389,6,14.166666666666666,6,1,1
390,1,11.0,6,1,0
391,5,12.14,8,1,0
392,5,11.4,6,0,0
393,2,12.333333333333334,5,0,0
394,6,14.0,6,1,0
395,7,12.86,8,1,1
396,11,12.0,11,1,0
397,3,12.0,6,1,1
398,4,13.714285714285714,6,1,0
399,0,0.0,5,1,0
400,4,11.2,6,1,1
401,3,10.333333333333334,6,1,0
402,3,11.0,6,1,0
403,4,12.75,6,1,0
404,7,14.731428571428571,8,1,0
405,0,0.0,0,1,0
406,12,14.25,12,1,0
407,5,14.8,5,1,0
408,6,14.571428571428571,6,1,0
409,0,0.0,5,1,0
410,7,14.654285714285717,8,1,1
411,7,12.401428571428571,8,1,0
412,7,14.071428571428571,8,1,0
413,5,15.6,5,1,0
414,6,11.833333333333334,6,1,1
415,5,15.4,5,1,0
416,6,12.375,6,1,0
417,3,11.0,6,1,0
418,6,11.6,7,1,1
419,0,0.0,8,1,0
420,8,13.094444444444443,8,1,1
421,5,14.8,5,1,0
422,0,0.0,6,1,0
423,8,13.25375,8,1,0
424,8,14.1,8,1,0
425,6,13.916666666666666,7,1,0
426,6,13.571428571428571,6,1,0
427,2,10.666666666666666,5,1,0
428,0,0.0,5,1,0
429,4,14.6,6,1,0
430,7,12.082857142857142,8,1,1
431,5,12.8,6,1,1
432,5,12.4,5,1,1
433,0,0.0,7,1,1
434,6,14.571428571428571,6,1,0
435,7,13.814285714285717,8,1,1
436,6,10.5,6,1,1
437,6,13.666666666666666,6,1,1
438,0,0.0,6,1,0
439,6,11.3,7,1,0
440,1,16.0,4,1,0
441,3,12.0,5,1,0
442,7,12.3,8,1,0
443,7,12.694285714285714,8,1,1
444,4,11.0,5,1,0
445,6,14.166666666666666,6,1,1
446,8,16.05,8,1,1
447,8,14.0625,8,1,0
448,5,12.8,6,1,0
449,5,12.8,6,1,1
450,7,14.402857142857142,8,1,0
451,7,13.381428571428572,8,1,1
452,8,13.98375,8,1,0
453,5,12.6,5,1,0
454,4,11.25,5,1,0
455,2,11.0,6,1,0
456,0,0.0,6,1,0
457,5,12.0,6,1,0
458,11,14.090909090909092,12,1,0
459,6,13.333333333333334,6,1,1
460,5,14.6,5,1,0
461,11,13.454545454545457,11,1,1
462,4,10.5,6,1,0
463,5,12.2,5,1,0
464,4,10.4,6,1,0
465,5,10.8,11,1,0
466,8,12.625,8,1,0
467,13,13.266666666666667,13,1,1
468,8,13.31,8,1,1
469,5,12.2,6,1,1
470,7,13.487142857142857,8,1,1
471,6,11.833333333333334,6,1,1
472,5,12.833333333333334,6,1,0
473,6,13.966666666666669,7,1,0
474,0,0.0,5,0,0
475,5,12.8,5,1,0
476,0,0.0,7,1,0
477,0,0.0,8,1,0
478,7,13.225,8,1,0
479,5,11.8,6,1,1
480,8,14.0375,8,1,0
481,7,14.314285714285717,8,1,1
482,0,0.0,8,1,0
483,2,13.0,6,1,0
484,7,12.128571428571428,8,1,1
485,5,12.2,6,1,1
486,4,10.571428571428571,6,1,0
487,4,11.75,6,1,0
488,8,14.4775,8,1,1
489,7,13.542857142857144,8,1,1
490,6,11.875,6,1,0
491,6,13.333333333333334,6,1,0
492,6,12.6,7,1,0
493,4,11.4,6,1,0
494,6,12.833333333333334,7,1,0
495,1,11.0,5,0,0
496,0,0.0,7,1,0
497,5,12.2,6,1,0
498,6,12.666666666666666,6,1,0
499,8,12.77125,8,1,0
500,5,12.6,5,1,0
501,5,14.6,6,1,0
502,4,10.833333333333334,6,0,0
503,0,0.0,4,0,0
504,7,11.721428571428572,8,1,1
505,3,12.525,7,1,0
506,5,13.8,7,1,0
507,6,13.666666666666666,6,1,0
508,5,14.0,5,1,0
509,0,0.0,5,1,0
510,0,0.0,6,1,0
511,0,0.0,5,0,0
512,4,11.75,5,1,0
513,0,0.0,5,0,0
514,0,0.0,4,0,0
515,0,0.0,6,0,0
516,5,12.4,6,1,0
517,3,11.666666666666666,6,1,0
518,1,11.0,6,1,0
519,5,10.2,6,1,0
520,7,12.61,8,1,1
521,5,12.6,5,1,0
522,6,13.5,6,0,0
523,5,13.0,5,1,1
524,0,0.0,8,1,0
525,1,11.0,5,1,0
526,3,10.5,5,1,0
527,0,0.0,0,1,0
528,0,0.0,5,0,0
529,4,11.75,6,1,0
530,3,11.666666666666666,5,1,1
531,0,0.0,6,1,0
532,7,11.69,8,1,0
534,0,0.0,0,1,0
535,5,11.285714285714286,5,1,0
536,0,0.0,5,1,0
537,5,12.4,6,1,0
538,6,13.166666666666666,6,1,0
539,6,11.333333333333334,6,1,0
540,8,15.018181818181818,8,1,0
541,2,12.0,5,1,0
542,6,12.625,6,1,1
543,8,15.188888888888888,8,1,1
544,5,12.6,5,1,1
545,3,11.0,5,1,0
546,2,13.5,5,1,0
547,2,14.5,6,1,0
548,6,13.496666666666668,8,1,0
549,5,11.0,5,1,0
550,3,12.0,5,1,0
551,4,13.75,6,0,0
552,3,13.666666666666666,8,1,0
553,0,0.0,6,1,0
554,0,0.0,5,1,0
555,6,10.857142857142858,9,1,0
556,3,12.0,5,1,0
557,0,0.0,0,1,0
558,3,10.666666666666666,6,1,0
559,8,12.5075,8,1,0
560,11,12.0,12,1,0
561,3,12.666666666666666,5,1,0
562,2,11.333333333333334,5,1,0
563,5,13.2,6,1,0
564,6,13.625,6,1,0
565,6,14.714285714285714,6,1,0
566,0,0.0,3,1,0
567,3,11.333333333333334,5,1,0
568,5,14.2,5,1,0
569,5,11.5,6,1,0
570,6,12.0,6,1,0
571,1,12.0,5,1,0
572,3,10.8,5,1,0
573,5,10.833333333333334,5,1,0
574,0,0.0,0,1,0
575,0,0.0,5,0,0
576,7,13.828571428571427,8,1,0
577,5,10.2,5,1,1
578,6,11.666666666666666,6,1,0
579,6,13.625,6,1,0
580,0,0.0,6,1,0
581,7,12.614285714285714,8,1,0
582,6,13.285714285714286,6,1,0
583,4,12.8,5,1,0
584,5,11.6,6,1,0
585,5,15.2,5,1,1
586,5,13.2,5,1,0
587,6,12.285714285714286,6,1,1
588,3,12.0,6,1,0
589,8,13.825,8,1,0
590,6,14.555555555555555,6,1,0
591,5,11.7,7,1,0
592,6,13.571428571428571,6,1,1
593,4,13.0,6,1,0
594,5,14.0,6,1,0
595,11,11.545454545454543,13,1,0
596,3,10.0,6,0,1
597,5,12.6,7,0,0
598,6,13.77777777777778,6,1,0
599,13,11.461538461538462,13,1,0
600,0,0.0,6,1,0
601,4,11.6,6,0,0
602,8,15.744444444444444,8,1,0
603,6,12.333333333333334,6,1,0
604,8,15.8125,8,1,1
605,0,0.0,0,0,0
606,0,0.0,5,1,1
607,7,12.355714285714283,8,1,1
608,0,0.0,6,1,0
609,5,11.98,7,1,1
610,7,12.571428571428571,7,1,1
611,6,14.166666666666666,6,1,0
612,6,11.166666666666666,6,1,0
613,5,13.2,5,1,0
614,7,12.357142857142858,8,1,1
615,7,13.857142857142858,8,1,1
616,6,10.666666666666666,6,1,1
617,8,13.788888888888888,8,1,0
618,8,13.01875,8,1,1
619,4,11.75,6,1,0
620,6,12.5,6,1,0
621,2,10.0,5,1,0
622,4,10.25,6,1,0
623,8,13.73125,8,1,1
624,3,12.666666666666666,6,1,1
625,5,10.8,6,1,0
626,6,11.333333333333334,8,1,0
627,8,13.811111111111112,8,1,0
628,6,14.166666666666666,6,1,0
629,5,12.0,6,1,0
630,7,12.042857142857144,8,1,1
631,4,13.0,6,1,0
632,8,15.5,8,1,1
633,7,11.7,8,1,1
634,5,14.0,6,1,1
635,6,12.714285714285714,6,1,1
636,7,12.62857142857143,8,1,1
637,4,11.4,5,1,0
638,5,11.6,6,1,0
639,6,11.833333333333334,6,1,1
640,0,0.0,6,0,0
641,2,11.0,5,1,0
642,3,12.333333333333334,5,1,0
643,8,14.26875,8,1,0
644,0,0.0,6,0,0
645,3,13.333333333333334,5,1,1
646,1,10.0,6,1,0
647,5,14.833333333333334,5,1,0
648,8,13.2125,8,1,0
649,4,10.75,5,1,0
650,6,16.428571428571427,6,1,0
651,6,13.5,9,0,0
652,7,12.614285714285714,8,1,0
653,6,11.5,6,1,1
654,4,11.0,6,1,0
655,3,10.0,6,1,1
656,2,10.0,6,1,0
657,11,11.454545454545457,13,1,0
658,5,12.4,6,1,0
659,0,0.0,6,1,0
660,6,15.5,6,1,0
661,6,11.708333333333334,7,1,0
662,6,13.666666666666666,6,1,0
663,4,13.25,5,1,0
664,8,14.444444444444445,8,1,0
665,5,16.0,5,1,1
666,4,11.75,6,0,0
667,11,13.545454545454543,11,1,1
668,0,0.0,8,1,0
669,17,13.554736842105264,17,1,0
670,6,11.0,6,1,1
671,7,14.714285714285714,7,1,0
672,8,11.7375,8,1,1
673,5,13.2,6,1,0
674,6,13.5,6,1,0
675,2,11.0,6,1,0
676,6,15.0,6,1,0
677,4,12.0,6,1,0
678,0,0.0,5,0,0
679,0,0.0,0,1,1
680,6,10.666666666666666,6,1,0
681,6,14.0,6,1,1
682,5,14.0,5,0,1
683,0,0.0,6,0,0
684,9,11.22222222222222,12,1,0
685,10,12.8,10,1,0
686,2,11.0,2,0,0
687,8,12.48125,8,1,0
688,5,14.0,5,1,0
689,0,0.0,5,0,0
690,0,0.0,6,1,0
691,13,12.384615384615383,13,1,0
692,4,13.0,6,1,0
693,0,0.0,7,0,0
695,2,13.5,5,1,0
696,6,13.666666666666666,6,1,0
697,5,10.8,6,1,0
698,6,11.714285714285714,6,1,0
699,1,17.0,5,1,0
700,3,12.0,6,0,0
701,3,13.666666666666666,5,1,0
703,0,0.0,5,1,0
704,7,14.857142857142858,7,1,0
705,4,13.333333333333334,5,1,1
706,7,12.142857142857142,7,1,0
707,13,14.23076923076923,13,1,0
708,9,15.77777777777778,9,1,0
709,0,0.0,5,0,0
710,0,0.0,5,1,0
711,0,0.0,5,0,0
712,5,11.6,5,1,0
713,7,13.105714285714283,8,1,0
714,5,14.4,5,1,0
715,11,12.0,11,1,0
716,0,0.0,5,1,0
717,0,0.0,6,0,0
718,5,17.6,5,1,0
719,5,12.4,6,1,0
720,3,12.0,9,1,0
721,6,12.0,6,1,0
722,0,0.0,0,1,0
723,0,0.0,6,0,0
724,0,0.0,5,0,0
725,8,16.575,8,1,0
726,7,14.375,7,1,0
727,0,0.0,5,1,0
728,0,0.0,0,1,0
729,5,11.2,6,1,0
730,3,12.0,6,0,1
731,5,11.666666666666666,6,1,0
732,5,11.6,6,1,0
733,4,12.75,5,1,0
734,0,0.0,6,1,0
735,5,12.0,6,1,0
736,6,12.333333333333334,7,1,0
737,3,11.333333333333334,6,1,0
738,10,11.181818181818182,11,1,0
739,5,13.0,6,1,0
740,0,0.0,6,1,0
741,6,12.5,6,1,0
742,6,12.4,7,1,0
743,3,10.333333333333334,5,1,0
744,6,15.0,6,1,0
745,0,0.0,6,0,0
746,2,11.0,6,0,0
748,0,0.0,5,1,0
749,8,13.944444444444445,8,1,0
750,3,13.333333333333334,5,1,0
751,6,14.666666666666666,6,1,1
752,8,13.105,8,1,1
753,0,0.0,5,0,0
754,6,12.166666666666666,6,1,1
755,0,0.0,0,0,0
756,3,12.333333333333334,6,0,0
757,11,11.363636363636363,14,0,0
758,4,13.0,6,1,0
759,5,11.8,5,1,0
760,12,12.384615384615383,12,1,0
761,0,0.0,0,1,0
762,6,12.0,7,1,0
763,1,10.0,5,1,0
764,10,13.0,11,1,0
765,5,11.2,5,1,0
766,4,12.4,5,1,0
767,7,12.571428571428571,7,1,0
768,7,13.857142857142858,7,1,0
769,6,14.0,6,1,0
770,6,15.142857142857142,6,1,1
771,0,0.0,6,1,0
772,7,13.294444444444444,8,1,0
773,6,12.166666666666666,6,1,0
774,4,12.2,6,1,0
775,3,12.0,6,1,0
776,6,15.625,6,1,0
777,9,12.7,11,1,0
779,6,13.833333333333334,6,1,1
780,6,15.5,6,1,1
781,4,10.5,6,1,0
782,8,14.63375,8,1,1
783,6,13.345,8,1,0
784,6,12.333333333333334,6,1,1
785,6,12.142857142857142,6,1,0
786,5,14.0,6,1,0
787,7,14.537142857142856,8,1,0
789,0,0.0,0,1,1
790,6,13.833333333333334,6,1,1
791,0,0.0,7,0,0
792,6,12.428571428571429,6,1,1
793,5,13.6,6,1,0
794,6,12.166666666666666,6,1,1
795,6,14.166666666666666,6,1,1
797,8,12.95,8,1,0
798,6,13.666666666666666,6,1,1
799,4,12.75,6,1,0
800,4,12.0,6,0,1
801,0,0.0,6,0,0
802,5,12.2,5,1,0
803,6,14.0,6,1,0
804,7,14.285714285714286,7,1,0
805,3,10.0,5,1,0
806,6,12.166666666666666,6,1,1
807,4,13.0,6,0,0
808,0,0.0,6,1,0
809,6,11.5,6,1,0
810,0,0.0,6,0,1
811,6,13.666666666666666,7,1,1
812,8,13.627777777777778,8,1,1
813,8,14.144444444444444,8,1,0
814,7,15.0,7,1,0
815,3,12.666666666666666,5,1,0
816,6,11.5,6,1,0
817,6,12.833333333333334,6,1,0
819,6,12.833333333333334,6,1,0
820,4,11.6,5,1,1
821,0,0.0,0,1,0
822,6,13.2,7,1,0
823,6,13.285714285714286,6,1,1
824,6,11.5,6,1,1
825,5,14.0,6,1,0
826,6,13.166666666666666,7,1,0
827,6,15.333333333333334,6,1,1
828,8,14.25,8,1,0
829,0,0.0,6,1,0
830,6,11.0,6,1,0
831,0,0.0,5,1,0
832,2,12.5,5,1,0
833,1,10.0,6,1,0
834,0,0.0,5,1,0
835,2,11.0,5,1,0
836,4,10.75,5,1,0
837,2,13.5,7,1,0
838,0,0.0,5,0,0
839,5,12.4,5,1,0
840,0,0.0,5,0,0
841,4,14.0,5,0,0
842,0,0.0,5,0,0
843,6,14.016666666666666,7,1,0
844,5,10.8,6,1,0
845,0,0.0,0,0,1
846,5,12.0,5,1,0
847,4,10.25,5,1,0
848,5,12.714285714285714,5,1,0
850,7,12.82375,8,1,0
851,4,11.25,6,1,0
852,6,14.166666666666666,6,1,1
853,7,13.842857142857143,8,1,1
854,0,0.0,5,0,0
855,0,0.0,6,1,0
856,6,13.833333333333334,6,1,0
857,0,0.0,6,1,0
858,0,0.0,5,1,0
859,2,10.0,6,1,0
860,3,13.25,5,1,0
861,0,0.0,5,0,0
862,7,12.142857142857142,9,1,0
863,2,14.5,6,0,0
864,6,13.5,6,0,0
865,8,15.055555555555555,8,1,1
866,0,0.0,5,1,0
867,0,0.0,5,1,1
868,5,12.8,6,1,0
869,0,0.0,0,1,0
870,6,12.5,6,1,0
871,2,13.0,5,1,0
872,10,11.583333333333334,11,1,0
873,6,11.583333333333334,8,1,1
874,4,14.5,6,1,0
875,8,12.233333333333333,8,1,1
876,5,11.0,6,1,1
877,0,0.0,7,1,1
878,5,11.6,5,1,0
879,7,12.142857142857142,9,1,0
880,5,13.2,6,1,1
881,0,0.0,0,1,0
882,0,0.0,6,0,0
883,6,11.428571428571429,10,0,0
884,7,12.599999999999998,8,1,1
885,9,12.333333333333334,10,1,0
886,6,13.0,6,1,0
888,8,15.35,8,1,1
889,4,11.25,6,1,1
890,6,14.666666666666666,6,1,0
892,7,14.428571428571429,8,1,1
893,0,0.0,5,0,0
895,1,13.0,5,0,0
896,6,13.0,6,1,0
897,11,12.545454545454543,12,1,1
898,4,11.0,6,1,0
899,6,14.0,6,1,1
900,2,14.0,5,1,0
901,5,11.2,6,1,1
902,8,12.8875,8,1,0
903,6,12.95,7,1,1
904,0,0.0,5,1,0
905,8,12.55,8,1,1
906,0,0.0,6,1,0
907,6,11.0,6,1,1
908,3,10.0,6,1,0
909,0,0.0,0,1,0
910,6,13.333333333333334,6,1,0
911,5,13.4,5,1,0
912,2,11.0,5,0,0
913,6,12.0,6,1,0
914,0,0.0,8,1,0
915,6,13.666666666666666,6,1,0
916,0,0.0,5,1,0
917,0,0.0,6,1,0
918,6,15.0,6,1,0
919,6,12.333333333333334,6,1,1
